통화명,전일대비,date
USD,+0.60,2023-05-08
JPY,-5.14,2023-05-08
EUR,-0.27,2023-05-08
CNY,+0.11,2023-05-08
HKD,+0.09,2023-05-08
GBP,+1.75,2023-05-08
CHF,-10.25,2023-05-08
CAD,+15.50,2023-05-08
AUD,+4.97,2023-05-08
NZD,+4.28,2023-05-08
SEK,+1.15,2023-05-08
DKK,-0.50,2023-05-08
NOK,+1.68,2023-05-08
SAR,+0.17,2023-05-08
KWD,-1.01,2023-05-08
BHD,+1.59,2023-05-08
AED,+0.19,2023-05-08
THB,+0.11,2023-05-08
SGD,+1.84,2023-05-08
IDR,+0.01,2023-05-08
INR,+0.02,2023-05-08
MYR,+1.21,2023-05-08
PKR,+0.06,2023-05-08
BDT,-0.01,2023-05-08
PHP,+0.02,2023-05-08
EGP,+0.09,2023-05-08
MXN,+0.95,2023-05-08
BND,+3.91,2023-05-08
USD,-0.30,2023-05-09
JPY,+0.61,2023-05-09
EUR,-0.66,2023-05-09
CNY,+0.05,2023-05-09
HKD,-0.05,2023-05-09
GBP,-0.32,2023-05-09
CHF,-0.84,2023-05-09
CAD,-2.93,2023-05-09
AUD,-0.01,2023-05-09
NZD,+0.21,2023-05-09
SEK,-0.18,2023-05-09
DKK,-0.88,2023-05-09
NOK,-0.11,2023-05-09
SAR,-0.08,2023-05-09
KWD,-2.81,2023-05-09
BHD,-0.79,2023-05-09
AED,-0.11,2023-05-09
THB,+0.02,2023-05-09
SGD,-0.26,2023-05-09
IDR,-0.26,2023-05-09
INR,-0.02,2023-05-09
MYR,+0.07,2023-05-09
PKR,-0.06,2023-05-09
BDT,-0.01,2023-05-09
PHP,+0.01,2023-05-09
EGP,-0.01,2023-05-09
MXN,-0.14,2023-05-09
BND,+0.38,2023-05-09
USD,-4.00,2023-05-10
JPY,-3.07,2023-05-10
EUR,-3.99,2023-05-10
CNY,-0.62,2023-05-10
HKD,-0.51,2023-05-10
GBP,-4.32,2023-05-10
CHF,-2.24,2023-05-10
CAD,-1.84,2023-05-10
AUD,-2.31,2023-05-10
NZD,-0.54,2023-05-10
SEK,-0.74,2023-05-10
DKK,-0.85,2023-05-10
NOK,-0.82,2023-05-10
SAR,-1.07,2023-05-10
KWD,-15.73,2023-05-10
BHD,-10.61,2023-05-10
AED,-1.07,2023-05-10
THB,-0.07,2023-05-10
SGD,-2.83,2023-05-10
IDR,-0.02,2023-05-10
INR,-0.09,2023-05-10
MYR,-1.33,2023-05-10
PKR,-0.01,2023-05-10
BDT,-0.10,2023-05-10
PHP,-0.17,2023-05-10
EGP,-0.12,2023-05-10
MXN,-0.11,2023-05-10
BND,-4.60,2023-05-10
USD,+3.70,2023-05-11
JPY,+4.63,2023-05-11
EUR,+4.66,2023-05-11
CNY,+0.82,2023-05-11
HKD,+0.42,2023-05-11
GBP,+4.94,2023-05-11
CHF,+4.32,2023-05-11
CAD,+3.18,2023-05-11
AUD,+3.17,2023-05-11
NZD,+4.99,2023-05-11
SEK,+0.26,2023-05-11
DKK,+1.06,2023-05-11
NOK,+0.79,2023-05-11
SAR,+0.99,2023-05-11
KWD,+15.59,2023-05-11
BHD,+9.82,2023-05-11
AED,+1.00,2023-05-11
THB,+0.20,2023-05-11
SGD,+4.33,2023-05-11
IDR,+0.03,2023-05-11
INR,+0.08,2023-05-11
MYR,+0.24,2023-05-11
PKR,-0.08,2023-05-11
BDT,+0.13,2023-05-11
PHP,+0.10,2023-05-11
EGP,+0.12,2023-05-11
MXN,+1.12,2023-05-11
BND,+4.67,2023-05-11
USD,-12.40,2023-05-12
JPY,-8.93,2023-05-12
EUR,-13.80,2023-05-12
CNY,-1.11,2023-05-12
HKD,-1.60,2023-05-12
GBP,-15.85,2023-05-12
CHF,-13.37,2023-05-12
CAD,-10.18,2023-05-12
AUD,-8.24,2023-05-12
NZD,-9.34,2023-05-12
SEK,-1.81,2023-05-12
DKK,-2.12,2023-05-12
NOK,-2.69,2023-05-12
SAR,-3.31,2023-05-12
KWD,-44.55,2023-05-12
BHD,-32.89,2023-05-12
AED,-3.39,2023-05-12
THB,-0.41,2023-05-12
SGD,-10.07,2023-05-12
IDR,-0.08,2023-05-12
INR,-0.19,2023-05-12
MYR,-3.11,2023-05-12
