result,cur_unit,ttb,tts,deal_bas_r,bkpr,yy_efee_r,ten_dd_efee_r,kftc_bkpr,kftc_deal_bas_r,cur_nm,date
1.0,AED,357.39,364.61,361,361,0,0,361,361,아랍에미리트 디르함,2023-05-08
1.0,AUD,886.28,904.19,895.24,895,0,0,895,895.24,호주 달러,2023-05-08
1.0,BHD,"3,480.74","3,551.05","3,515.9","3,515",0,0,"3,515","3,515.9",바레인 디나르,2023-05-08
1.0,BND,989.81,"1,009.8",999.81,999,0,0,999,999.81,브루나이 달러,2023-05-08
1.0,CAD,980.93,"1,000.74",990.84,990,0,0,990,990.84,캐나다 달러,2023-05-08
1.0,CHF,"1,472.72","1,502.47","1,487.6","1,487",0,0,"1,487","1,487.6",스위스 프랑,2023-05-08
1.0,CNH,189.78,193.61,191.7,191,0,0,191,191.7,위안화,2023-05-08
1.0,DKK,194.07,198,196.04,196,0,0,196,196.04,덴마아크 크로네,2023-05-08
1.0,EUR,"1,445.8","1,475.01","1,460.41","1,460",0,0,"1,460","1,460.41",유로,2023-05-08
1.0,GBP,"1,657.28","1,690.77","1,674.03","1,674",0,0,"1,674","1,674.03",영국 파운드,2023-05-08
1.0,HKD,167.23,170.6,168.92,168,0,0,168,168.92,홍콩 달러,2023-05-08
1.0,IDR,8.93,9.12,9.03,9,0,0,9,9.03,인도네시아 루피아,2023-05-08
1.0,JPY,971.06,990.67,980.87,980,0,0,980,980.87,일본 옌,2023-05-08
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-08
1.0,KWD,"4,284.5","4,371.05","4,327.78","4,327",0,0,"4,327","4,327.78",쿠웨이트 디나르,2023-05-08
1.0,MYR,295.77,301.74,298.76,298,0,0,298,298.76,말레이지아 링기트,2023-05-08
1.0,NOK,124.16,126.67,125.42,125,0,0,125,125.42,노르웨이 크로네,2023-05-08
1.0,NZD,826.7,843.41,835.06,835,0,0,835,835.06,뉴질랜드 달러,2023-05-08
1.0,SAR,349.93,357,353.47,353,0,0,353,353.47,사우디 리얄,2023-05-08
1.0,SEK,129.03,131.64,130.34,130,0,0,130,130.34,스웨덴 크로나,2023-05-08
1.0,SGD,989.81,"1,009.8",999.81,999,0,0,999,999.81,싱가포르 달러,2023-05-08
1.0,THB,38.75,39.54,39.15,39,0,0,39,39.15,태국 바트,2023-05-08
1.0,USD,"1,312.34","1,338.85","1,325.6","1,325",0,0,"1,325","1,325.6",미국 달러,2023-05-08
1.0,AED,356.57,363.78,360.18,360,0,0,360,360.18,아랍에미리트 디르함,2023-05-09
1.0,AUD,888.14,906.09,897.12,897,0,0,897,897.12,호주 달러,2023-05-09
1.0,BHD,"3,473.12","3,543.29","3,508.21","3,508",0,0,"3,508","3,508.21",바레인 디나르,2023-05-09
1.0,BND,988.24,"1,008.21",998.23,998,0,0,998,998.23,브루나이 달러,2023-05-09
1.0,CAD,979.37,999.16,989.27,989,0,0,989,989.27,캐나다 달러,2023-05-09
1.0,CHF,"1,471.48","1,501.21","1,486.35","1,486",0,0,"1,486","1,486.35",스위스 프랑,2023-05-09
1.0,CNH,189.22,193.05,191.14,191,0,0,191,191.14,위안화,2023-05-09
1.0,DKK,193.44,197.35,195.4,195,0,0,195,195.4,덴마아크 크로네,2023-05-09
1.0,EUR,"1,440.48","1,469.59","1,455.04","1,455",0,0,"1,455","1,455.04",유로,2023-05-09
1.0,GBP,"1,652.09","1,685.46","1,668.78","1,668",0,0,"1,668","1,668.78",영국 파운드,2023-05-09
1.0,HKD,166.84,170.21,168.53,168,0,0,168,168.53,홍콩 달러,2023-05-09
1.0,IDR,8.91,9.09,9,9,0,0,9,9,인도네시아 루피아,2023-05-09
1.0,JPY,969.72,989.31,979.52,979,0,0,979,979.52,일본 옌,2023-05-09
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-09
1.0,KWD,"4,271.92","4,358.23","4,315.08","4,315",0,0,"4,315","4,315.08",쿠웨이트 디나르,2023-05-09
1.0,MYR,295.12,301.09,298.11,298,0,0,298,298.11,말레이지아 링기트,2023-05-09
1.0,NOK,124.7,127.21,125.96,125,0,0,125,125.96,노르웨이 크로네,2023-05-09
1.0,NZD,831.12,847.91,839.52,839,0,0,839,839.52,뉴질랜드 달러,2023-05-09
1.0,SAR,349.17,356.22,352.7,352,0,0,352,352.7,사우디 리얄,2023-05-09
1.0,SEK,128.76,131.37,130.07,130,0,0,130,130.07,스웨덴 크로나,2023-05-09
1.0,SGD,988.24,"1,008.21",998.23,998,0,0,998,998.23,싱가포르 달러,2023-05-09
1.0,THB,38.71,39.5,39.11,39,0,0,39,39.11,태국 바트,2023-05-09
1.0,USD,"1,309.47","1,335.92","1,322.7","1,322",0,0,"1,322","1,322.7",미국 달러,2023-05-09
1.0,AED,356.67,363.88,360.28,360,0,0,360,360.28,아랍에미리트 디르함,2023-05-10
1.0,AUD,885.79,903.68,894.74,894,0,0,894,894.74,호주 달러,2023-05-10
1.0,BHD,"3,473.91","3,544.09","3,509","3,509",0,0,"3,509","3,509",바레인 디나르,2023-05-10
1.0,BND,986.9,"1,006.83",996.87,996,0,0,996,996.87,브루나이 달러,2023-05-10
1.0,CAD,978.86,998.63,988.75,988,0,0,988,988.75,캐나다 달러,2023-05-10
1.0,CHF,"1,471.56","1,501.29","1,486.43","1,486",0,0,"1,486","1,486.43",스위스 프랑,2023-05-10
1.0,CNH,189.13,192.96,191.05,191,0,0,191,191.05,위안화,2023-05-10
1.0,DKK,192.92,196.81,194.87,194,0,0,194,194.87,덴마아크 크로네,2023-05-10
1.0,EUR,"1,436.29","1,465.3","1,450.8","1,450",0,0,"1,450","1,450.8",유로,2023-05-10
1.0,GBP,"1,653.64","1,687.05","1,670.35","1,670",0,0,"1,670","1,670.35",영국 파운드,2023-05-10
1.0,HKD,167.03,170.4,168.72,168,0,0,168,168.72,홍콩 달러,2023-05-10
1.0,IDR,8.89,9.06,8.98,8,0,0,8,8.98,인도네시아 루피아,2023-05-10
1.0,JPY,968.43,988,978.22,978,0,0,978,978.22,일본 옌,2023-05-10
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-10
1.0,KWD,"4,272.05","4,358.36","4,315.21","4,315",0,0,"4,315","4,315.21",쿠웨이트 디나르,2023-05-10
1.0,MYR,294.36,300.31,297.34,297,0,0,297,297.34,말레이지아 링기트,2023-05-10
1.0,NOK,123.93,126.44,125.19,125,0,0,125,125.19,노르웨이 크로네,2023-05-10
1.0,NZD,830.13,846.9,838.52,838,0,0,838,838.52,뉴질랜드 달러,2023-05-10
1.0,SAR,349.25,356.3,352.78,352,0,0,352,352.78,사우디 리얄,2023-05-10
1.0,SEK,128.5,131.09,129.8,129,0,0,129,129.8,스웨덴 크로나,2023-05-10
1.0,SGD,986.9,"1,006.83",996.87,996,0,0,996,996.87,싱가포르 달러,2023-05-10
1.0,THB,38.89,39.68,39.29,39,0,0,39,39.29,태국 바트,2023-05-10
1.0,USD,"1,309.77","1,336.23","1,323","1,323",0,0,"1,323","1,323",미국 달러,2023-05-10
1.0,AED,356.99,364.2,360.6,360,0,0,360,360.6,아랍에미리트 디르함,2023-05-11
1.0,AUD,888.96,906.91,897.94,897,0,0,897,897.94,호주 달러,2023-05-11
1.0,BHD,"3,477.06","3,547.31","3,512.19","3,512",0,0,"3,512","3,512.19",바레인 디나르,2023-05-11
1.0,BND,989.66,"1,009.65",999.66,999,0,0,999,999.66,브루나이 달러,2023-05-11
1.0,CAD,980.26,"1,000.07",990.17,990,0,0,990,990.17,캐나다 달러,2023-05-11
1.0,CHF,"1,474.3","1,504.09","1,489.2","1,489",0,0,"1,489","1,489.2",스위스 프랑,2023-05-11
1.0,CNH,189.16,192.99,191.08,191,0,0,191,191.08,위안화,2023-05-11
1.0,DKK,193.39,197.3,195.35,195,0,0,195,195.35,덴마아크 크로네,2023-05-11
1.0,EUR,"1,440.15","1,469.24","1,454.7","1,454",0,0,"1,454","1,454.7",유로,2023-05-11
1.0,GBP,"1,655.47","1,688.92","1,672.2","1,672",0,0,"1,672","1,672.2",영국 파운드,2023-05-11
1.0,HKD,167.38,170.77,169.08,169,0,0,169,169.08,홍콩 달러,2023-05-11
1.0,IDR,8.9,9.07,8.99,8,0,0,8,8.99,인도네시아 루피아,2023-05-11
1.0,JPY,977.48,997.23,987.36,987,0,0,987,987.36,일본 옌,2023-05-11
1.0,KRW,0,0,1,1,0,0,1,1,한국 원,2023-05-11
1.0,KWD,"4,279.42","4,365.87","4,322.65","4,322",0,0,"4,322","4,322.65",쿠웨이트 디나르,2023-05-11
1.0,MYR,294.03,299.98,297.01,297,0,0,297,297.01,말레이지아 링기트,2023-05-11
1.0,NOK,124.82,127.35,126.09,126,0,0,126,126.09,노르웨이 크로네,2023-05-11
1.0,NZD,834.94,851.81,843.38,843,0,0,843,843.38,뉴질랜드 달러,2023-05-11
1.0,SAR,349.56,356.63,353.1,353,0,0,353,353.1,사우디 리얄,2023-05-11
1.0,SEK,128.27,130.86,129.57,129,0,0,129,129.57,스웨덴 크로나,2023-05-11
1.0,SGD,989.66,"1,009.65",999.66,999,0,0,999,999.66,싱가포르 달러,2023-05-11
1.0,THB,38.95,39.74,39.35,39,0,0,39,39.35,태국 바트,2023-05-11
1.0,USD,"1,310.95","1,337.44","1,324.2","1,324",0,0,"1,324","1,324.2",미국 달러,2023-05-11
1.0,AED,355.93,363.12,359.53,359,0,0,359,359.53,아랍에미리트 디르함,2023-05-12
1.0,AUD,875.82,893.51,884.67,884,0,0,884,884.67,호주 달러,2023-05-12
1.0,BHD,"3,466.82","3,536.85","3,501.84","3,501",0,0,"3,501","3,501.84",바레인 디나르,2023-05-12
1.0,BND,981.59,"1,001.42",991.51,991,0,0,991,991.51,브루나이 달러,2023-05-12
1.0,CAD,968.83,988.4,978.62,978,0,0,978,978.62,캐나다 달러,2023-05-12
1.0,CHF,"1,461.91","1,491.44","1,476.68","1,476",0,0,"1,476","1,476.68",스위스 프랑,2023-05-12
1.0,CNH,188.53,192.34,190.44,190,0,0,190,190.44,위안화,2023-05-12
