통화명,전일대비,date,ttb,tts,deal_bas_r,bkpr,kftc_bkpr,kftc_deal_bas_r,cur_nm
USD,+0.60,2023-05-08,"1,312.34","1,338.85","1,325.6","1,325","1,325","1,325.6",미국 달러
JPY,-5.14,2023-05-08,971.06,990.67,980.87,980,980,980.87,일본 옌
EUR,-0.27,2023-05-08,"1,445.8","1,475.01","1,460.41","1,460","1,460","1,460.41",유로
HKD,+0.09,2023-05-08,167.23,170.6,168.92,168,168,168.92,홍콩 달러
GBP,+1.75,2023-05-08,"1,657.28","1,690.77","1,674.03","1,674","1,674","1,674.03",영국 파운드
CHF,-10.25,2023-05-08,"1,472.72","1,502.47","1,487.6","1,487","1,487","1,487.6",스위스 프랑
CAD,+15.50,2023-05-08,980.93,"1,000.74",990.84,990,990,990.84,캐나다 달러
AUD,+4.97,2023-05-08,886.28,904.19,895.24,895,895,895.24,호주 달러
NZD,+4.28,2023-05-08,826.7,843.41,835.06,835,835,835.06,뉴질랜드 달러
SEK,+1.15,2023-05-08,129.03,131.64,130.34,130,130,130.34,스웨덴 크로나
DKK,-0.50,2023-05-08,194.07,198,196.04,196,196,196.04,덴마아크 크로네
NOK,+1.68,2023-05-08,124.16,126.67,125.42,125,125,125.42,노르웨이 크로네
SAR,+0.17,2023-05-08,349.93,357,353.47,353,353,353.47,사우디 리얄
KWD,-1.01,2023-05-08,"4,284.5","4,371.05","4,327.78","4,327","4,327","4,327.78",쿠웨이트 디나르
BHD,+1.59,2023-05-08,"3,480.74","3,551.05","3,515.9","3,515","3,515","3,515.9",바레인 디나르
AED,+0.19,2023-05-08,357.39,364.61,361,361,361,361,아랍에미리트 디르함
THB,+0.11,2023-05-08,38.75,39.54,39.15,39,39,39.15,태국 바트
SGD,+1.84,2023-05-08,989.81,"1,009.8",999.81,999,999,999.81,싱가포르 달러
IDR,+0.01,2023-05-08,8.93,9.12,9.03,9,9,9.03,인도네시아 루피아
MYR,+1.21,2023-05-08,295.77,301.74,298.76,298,298,298.76,말레이지아 링기트
BND,+3.91,2023-05-08,989.81,"1,009.8",999.81,999,999,999.81,브루나이 달러
USD,-0.30,2023-05-09,"1,309.47","1,335.92","1,322.7","1,322","1,322","1,322.7",미국 달러
JPY,+0.61,2023-05-09,969.72,989.31,979.52,979,979,979.52,일본 옌
EUR,-0.66,2023-05-09,"1,440.48","1,469.59","1,455.04","1,455","1,455","1,455.04",유로
HKD,-0.05,2023-05-09,166.84,170.21,168.53,168,168,168.53,홍콩 달러
GBP,-0.32,2023-05-09,"1,652.09","1,685.46","1,668.78","1,668","1,668","1,668.78",영국 파운드
CHF,-0.84,2023-05-09,"1,471.48","1,501.21","1,486.35","1,486","1,486","1,486.35",스위스 프랑
CAD,-2.93,2023-05-09,979.37,999.16,989.27,989,989,989.27,캐나다 달러
AUD,-0.01,2023-05-09,888.14,906.09,897.12,897,897,897.12,호주 달러
NZD,+0.21,2023-05-09,831.12,847.91,839.52,839,839,839.52,뉴질랜드 달러
SEK,-0.18,2023-05-09,128.76,131.37,130.07,130,130,130.07,스웨덴 크로나
DKK,-0.88,2023-05-09,193.44,197.35,195.4,195,195,195.4,덴마아크 크로네
NOK,-0.11,2023-05-09,124.7,127.21,125.96,125,125,125.96,노르웨이 크로네
SAR,-0.08,2023-05-09,349.17,356.22,352.7,352,352,352.7,사우디 리얄
KWD,-2.81,2023-05-09,"4,271.92","4,358.23","4,315.08","4,315","4,315","4,315.08",쿠웨이트 디나르
BHD,-0.79,2023-05-09,"3,473.12","3,543.29","3,508.21","3,508","3,508","3,508.21",바레인 디나르
AED,-0.11,2023-05-09,356.57,363.78,360.18,360,360,360.18,아랍에미리트 디르함
THB,+0.02,2023-05-09,38.71,39.5,39.11,39,39,39.11,태국 바트
SGD,-0.26,2023-05-09,988.24,"1,008.21",998.23,998,998,998.23,싱가포르 달러
IDR,-0.26,2023-05-09,8.91,9.09,9,9,9,9,인도네시아 루피아
MYR,+0.07,2023-05-09,295.12,301.09,298.11,298,298,298.11,말레이지아 링기트
BND,+0.38,2023-05-09,988.24,"1,008.21",998.23,998,998,998.23,브루나이 달러
USD,-4.00,2023-05-10,"1,309.77","1,336.23","1,323","1,323","1,323","1,323",미국 달러
JPY,-3.07,2023-05-10,968.43,988,978.22,978,978,978.22,일본 옌
EUR,-3.99,2023-05-10,"1,436.29","1,465.3","1,450.8","1,450","1,450","1,450.8",유로
HKD,-0.51,2023-05-10,167.03,170.4,168.72,168,168,168.72,홍콩 달러
GBP,-4.32,2023-05-10,"1,653.64","1,687.05","1,670.35","1,670","1,670","1,670.35",영국 파운드
CHF,-2.24,2023-05-10,"1,471.56","1,501.29","1,486.43","1,486","1,486","1,486.43",스위스 프랑
CAD,-1.84,2023-05-10,978.86,998.63,988.75,988,988,988.75,캐나다 달러
AUD,-2.31,2023-05-10,885.79,903.68,894.74,894,894,894.74,호주 달러
NZD,-0.54,2023-05-10,830.13,846.9,838.52,838,838,838.52,뉴질랜드 달러
SEK,-0.74,2023-05-10,128.5,131.09,129.8,129,129,129.8,스웨덴 크로나
DKK,-0.85,2023-05-10,192.92,196.81,194.87,194,194,194.87,덴마아크 크로네
NOK,-0.82,2023-05-10,123.93,126.44,125.19,125,125,125.19,노르웨이 크로네
SAR,-1.07,2023-05-10,349.25,356.3,352.78,352,352,352.78,사우디 리얄
KWD,-15.73,2023-05-10,"4,272.05","4,358.36","4,315.21","4,315","4,315","4,315.21",쿠웨이트 디나르
BHD,-10.61,2023-05-10,"3,473.91","3,544.09","3,509","3,509","3,509","3,509",바레인 디나르
AED,-1.07,2023-05-10,356.67,363.88,360.28,360,360,360.28,아랍에미리트 디르함
THB,-0.07,2023-05-10,38.89,39.68,39.29,39,39,39.29,태국 바트
SGD,-2.83,2023-05-10,986.9,"1,006.83",996.87,996,996,996.87,싱가포르 달러
IDR,-0.02,2023-05-10,8.89,9.06,8.98,8,8,8.98,인도네시아 루피아
MYR,-1.33,2023-05-10,294.36,300.31,297.34,297,297,297.34,말레이지아 링기트
BND,-4.60,2023-05-10,986.9,"1,006.83",996.87,996,996,996.87,브루나이 달러
USD,+3.70,2023-05-11,"1,310.95","1,337.44","1,324.2","1,324","1,324","1,324.2",미국 달러
JPY,+4.63,2023-05-11,977.48,997.23,987.36,987,987,987.36,일본 옌
EUR,+4.66,2023-05-11,"1,440.15","1,469.24","1,454.7","1,454","1,454","1,454.7",유로
HKD,+0.42,2023-05-11,167.38,170.77,169.08,169,169,169.08,홍콩 달러
GBP,+4.94,2023-05-11,"1,655.47","1,688.92","1,672.2","1,672","1,672","1,672.2",영국 파운드
CHF,+4.32,2023-05-11,"1,474.3","1,504.09","1,489.2","1,489","1,489","1,489.2",스위스 프랑
CAD,+3.18,2023-05-11,980.26,"1,000.07",990.17,990,990,990.17,캐나다 달러
AUD,+3.17,2023-05-11,888.96,906.91,897.94,897,897,897.94,호주 달러
NZD,+4.99,2023-05-11,834.94,851.81,843.38,843,843,843.38,뉴질랜드 달러
SEK,+0.26,2023-05-11,128.27,130.86,129.57,129,129,129.57,스웨덴 크로나
